metric,value
citation_correctness_rate,0.0
citation_precision,"{""mean"":0.0,""stddev"":0.0}"
citation_recall,"{""mean"":0.0,""stddev"":0.0}"
duplicate_side_effect_rate,0.0
end_to_end_success_rate,0.9833333333333333
mrr,"{""mean"":0.0,""stddev"":0.0}"
ndcg_at_5,"{""mean"":0.0,""stddev"":0.0}"
p95_latency_ms,137125
precision_at_5,"{""mean"":0.0,""stddev"":0.0}"
recall_at_5,"{""mean"":0.0,""stddev"":0.0}"
setup_agent_failure_rate,0.0
setup_agent_failures,0
task_success_rate,0.9833333333333333
tool_f1,"{""mean"":0.9966666666666666,""stddev"":0.025603819159562023}"
tool_precision,"{""mean"":0.9944444444444444,""stddev"":0.042673031932603384}"
tool_recall,"{""mean"":1.0,""stddev"":0.0}"
total_attempts,60
unapproved_execution_rate,0.0
