metric,value
citation_correctness_rate,0.16666666666666666
citation_precision,"{""mean"":0.16666666666666666,""stddev"":0.37267799624996495}"
citation_recall,"{""mean"":0.16666666666666666,""stddev"":0.37267799624996495}"
duplicate_side_effect_rate,0.0
end_to_end_success_rate,0.0
mrr,"{""mean"":0.0,""stddev"":0.0}"
ndcg_at_5,"{""mean"":0.0,""stddev"":0.0}"
p95_latency_ms,51874
precision_at_5,"{""mean"":0.0,""stddev"":0.0}"
recall_at_5,"{""mean"":0.0,""stddev"":0.0}"
setup_agent_failure_rate,0.0
setup_agent_failures,0
task_success_rate,0.0
tool_f1,"{""mean"":0.0,""stddev"":0.0}"
tool_precision,"{""mean"":0.0,""stddev"":0.0}"
tool_recall,"{""mean"":0.0,""stddev"":0.0}"
total_attempts,12
unapproved_execution_rate,0.0
